                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     74,                 1.8693,                 3.5434,                 1.4687,                0.25137,                0.33333,                0.26813,                0.10326,                 2.9441,                 3.3774,                 1.5194,             0.00047876,             0.00047876,             0.00047876
                     75,                 1.9769,                 3.5357,                 1.2439,                0.18688,                0.33333,                0.26165,                0.06501,                 2.7966,                 3.4101,                 1.4503,             0.00046226,             0.00046226,             0.00046226
                     76,                 1.8312,                 3.2111,                 1.3724,                0.13498,                0.33333,                0.14752,                0.03425,                 2.7752,                 3.1593,                 1.4324,             0.00044576,             0.00044576,             0.00044576
                     77,                 1.9809,                 3.4704,                 1.5201,                 0.1159,                    0.5,                0.11769,                0.02923,                 2.8901,                 3.1682,                 1.5316,             0.00042925,             0.00042925,             0.00042925
                     78,                 1.9564,                 3.1678,                 1.5012,                0.11635,                    0.5,                 0.1277,                0.02686,                 2.9442,                 3.0143,                 1.4985,             0.00041275,             0.00041275,             0.00041275
                     79,                 1.7549,                 3.6679,                 1.2173,                  0.168,                    0.5,                 0.2142,                0.03887,                 3.2076,                 2.7619,                 1.5721,             0.00039625,             0.00039625,             0.00039625
                     80,                 1.8184,                 3.5436,                 1.2826,                0.12051,                0.33333,                0.08631,                0.04032,                 2.9146,                 2.8913,                 1.4648,             0.00037974,             0.00037974,             0.00037974
                     81,                 1.7692,                 3.4014,                 1.4973,                0.08947,                0.16667,                0.11326,                0.05435,                 2.9588,                 2.8969,                 1.4264,             0.00036324,             0.00036324,             0.00036324
                     82,                 1.7715,                 3.8708,                 1.2436,                0.20184,                0.33333,                0.15874,                0.04864,                 3.0278,                 3.1079,                  1.448,             0.00034674,             0.00034674,             0.00034674
                     83,                 1.8139,                 3.5307,                  1.378,                0.15398,                0.16667,                0.15428,                0.03718,                 2.8785,                 3.0761,                 1.3707,             0.00033023,             0.00033023,             0.00033023
                     84,                  1.604,                 3.4464,                  1.204,                 0.1823,                0.16667,                0.08233,                0.02377,                 3.0914,                 3.3686,                  1.443,             0.00031373,             0.00031373,             0.00031373
                     85,                  2.014,                  3.431,                 1.5051,                0.14509,                0.16667,                0.12924,                0.02863,                  3.082,                 3.3744,                 1.4503,             0.00029723,             0.00029723,             0.00029723
                     86,                 2.0253,                 3.6533,                 1.4323,                0.16004,                0.33333,                0.13163,                0.03502,                 2.9895,                 3.2783,                 1.4536,             0.00028072,             0.00028072,             0.00028072
                     87,                 1.7717,                 2.9495,                 1.2473,                0.11067,                0.33333,                0.11139,                0.04535,                 2.9133,                 3.1604,                 1.5332,             0.00026422,             0.00026422,             0.00026422
                     88,                  1.886,                 2.4386,                 1.4092,                0.14248,                    0.5,                0.09809,                0.04482,                 2.9136,                 3.2157,                 1.6217,             0.00024772,             0.00024772,             0.00024772
